date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,city
2023-01-01,167.49583333333334,114.4875,3015.2083333333335,91.05416666666667,68.45833333333333,47.583333333333336,Delhi
2023-01-02,277.4375,192.95416666666665,6311.625,136.4125,139.27083333333334,41.5,Delhi
2023-01-03,207.90416666666667,144.23333333333332,4205.458333333333,100.6125,95.84166666666665,48.375,Delhi
2023-01-04,153.37083333333334,105.52083333333333,2423.7083333333335,72.28333333333333,57.67083333333333,61.916666666666664,Delhi
2023-01-05,221.65416666666667,152.9,3656.125,100.74166666666667,75.15416666666667,49.833333333333336,Delhi
2023-01-06,225.32500000000002,156.35833333333332,3477.0833333333335,108.10833333333333,84.85000000000001,50.041666666666664,Delhi
2023-01-07,200.98749999999998,139.275,2773.625,94.89166666666667,63.73333333333333,40.416666666666664,Delhi
2023-01-08,228.725,157.2125,3241.6666666666665,83.33333333333333,58.02916666666667,66.70833333333333,Delhi
2023-01-09,310.45,214.05416666666667,5473.333333333333,148.17083333333332,96.57083333333333,42.541666666666664,Delhi
2023-01-10,193.05416666666667,132.9125,3088.5833333333335,94.55416666666667,56.854166666666664,45.875,Delhi
2023-01-11,203.14583333333334,139.74166666666667,2584.5833333333335,94.49166666666667,66.24166666666666,67.95833333333333,Delhi
2023-01-12,145.99583333333334,97.67083333333333,1736.0416666666667,70.8875,47.737500000000004,58.5,Delhi
2023-01-13,152.32083333333333,103.20416666666667,1986.9583333333333,69.07083333333334,57.42916666666667,40.75,Delhi
2023-01-14,149.7125,98.48333333333333,2010.625,59.987500000000004,44.31666666666666,46.291666666666664,Delhi
2023-01-15,91.25416666666666,57.54583333333333,1388.0833333333333,43.762499999999996,32.35,60.375,Delhi
2023-01-16,106.07916666666667,70.44583333333334,1553.375,55.69583333333333,39.61666666666667,54.708333333333336,Delhi
2023-01-17,101.42083333333333,66.74166666666666,1562.7083333333333,55.92083333333333,38.824999999999996,64.83333333333333,Delhi
2023-01-18,136.47083333333333,92.92083333333333,2172.4166666666665,76.21666666666667,53.4375,58.708333333333336,Delhi
2023-01-19,165.07083333333333,113.90416666666665,2315.2083333333335,83.2,66.27499999999999,68.0,Delhi
2023-01-20,95.02499999999999,64.49583333333334,1238.5833333333333,53.0,40.041666666666664,51.041666666666664,Delhi
2023-01-21,164.13750000000002,113.18333333333334,2720.375,99.03750000000001,74.40416666666667,30.5,Delhi
2023-01-22,210.7875,146.19166666666666,3315.4166666666665,110.07083333333333,85.82916666666667,38.5,Delhi
2023-01-23,207.6291666666667,144.29583333333332,3780.2916666666665,115.02083333333333,77.925,40.5,Delhi
2023-01-24,211.1833333333333,144.5875,3190.7083333333335,112.60833333333333,74.60416666666667,29.0,Delhi
2023-01-25,157.85833333333332,109.22500000000001,1755.1666666666667,73.00416666666666,65.60833333333333,48.375,Delhi
2023-01-26,131.27916666666667,87.25416666666666,967.9166666666666,45.9625,44.94583333333333,60.541666666666664,Delhi
2023-01-27,108.19166666666666,68.35416666666667,860.6666666666666,37.25,53.30833333333334,71.5,Delhi
2023-01-28,146.04999999999998,97.72916666666667,1383.9583333333333,61.53333333333333,101.93333333333334,66.66666666666667,Delhi
2023-01-29,189.0625,128.80416666666667,1981.75,87.40416666666665,148.53333333333333,23.75,Delhi
2023-01-30,135.98333333333332,94.2,1231.8333333333333,52.06666666666666,104.92083333333333,43.958333333333336,Delhi
2023-01-31,107.39999999999999,68.62083333333334,920.9166666666666,43.74583333333334,57.15833333333333,47.5,Delhi
2023-02-01,88.625,54.0625,815.25,34.833333333333336,41.979166666666664,66.5,Delhi
2023-02-02,87.37916666666666,52.875,999.7083333333334,40.62916666666667,32.09166666666666,74.70833333333333,Delhi
2023-02-03,94.99166666666667,61.46666666666667,1252.6666666666667,46.449999999999996,39.791666666666664,66.83333333333333,Delhi
2023-02-04,100.0125,63.38333333333333,847.7916666666666,35.09583333333333,58.895833333333336,79.08333333333333,Delhi
2023-02-05,101.23333333333333,64.8125,903.4166666666666,39.887499999999996,75.70833333333333,77.5,Delhi
2023-02-06,204.39583333333334,136.22083333333333,1753.0833333333333,95.05416666666667,163.27083333333334,50.0,Delhi
2023-02-07,123.99166666666667,79.81666666666668,1281.5,65.39999999999999,52.449999999999996,43.625,Delhi
2023-02-08,70.50833333333334,44.10833333333333,1038.8333333333333,45.15833333333333,30.554166666666664,72.0,Delhi
2023-02-09,105.75,69.88333333333334,1484.75,76.36666666666666,49.9,64.04166666666667,Delhi
2023-02-10,99.125,64.02083333333333,1244.4166666666667,68.76666666666667,52.00833333333333,54.708333333333336,Delhi
2023-02-11,149.1625,96.92083333333333,1666.25,79.38333333333334,61.56666666666667,58.708333333333336,Delhi
2023-02-12,77.66250000000001,46.89166666666667,688.3333333333334,37.074999999999996,31.179166666666664,65.58333333333333,Delhi
2023-02-13,61.75833333333333,27.3875,544.8333333333334,28.304166666666664,20.7375,86.41666666666667,Delhi
2023-02-14,73.86666666666666,43.36666666666667,717.25,32.800000000000004,39.84583333333333,87.83333333333333,Delhi
2023-02-15,101.69166666666666,60.104166666666664,666.3333333333334,26.354166666666668,52.537499999999994,108.66666666666667,Delhi
2023-02-16,177.32083333333333,120.15833333333335,1207.4166666666667,61.15833333333333,127.85000000000001,70.29166666666667,Delhi
2023-02-17,236.875,163.85,2135.1666666666665,89.64166666666667,145.65833333333333,84.08333333333333,Delhi
2023-02-18,271.40000000000003,182.2125,3439.6666666666665,100.07916666666667,118.6375,88.66666666666667,Delhi
