model,MAE,RMSE,R2
LinearRegression,68.19173388885426,113.81319286176142,0.2738217039622143
RandomForest,83.75356003854624,118.9226123264104,0.20715748257265
XGBoost,94.0305480214827,131.98943284266574,0.023355798317801324
